"PlotID","Hill","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Taxa","Diversity"
42,"Simpson diversity",-1.953,103.245,5,"Island",1,"D",6,"Birds",0.364
43,"Shannon diversity",-1.95,103.259,40,"Island",1,"C",400,"Birds",0.432
43,"Species richness",-1.95,103.259,40,"Island",1,"C",400,"Birds",0.375
43,"Simpson diversity",-1.95,103.259,40,"Island",1,"C",400,"Birds",0.49
44,"Simpson diversity",-1.953,103.248,5,"Island",3,"BEF",6,"Birds",0.182
44,"Shannon diversity",-1.953,103.248,5,"Island",3,"BEF",6,"Birds",0.153
44,"Species richness",-1.953,103.248,5,"Island",3,"BEF",6,"Birds",0.125
45,"Simpson diversity",-1.953,103.249,40,"Island",1,"E",400,"Birds",0.595
45,"Species richness",-1.953,103.249,40,"Island",1,"E",400,"Birds",0.5
45,"Shannon diversity",-1.953,103.249,40,"Island",1,"E",400,"Birds",0.549
46,"Species richness",-1.954,103.242,40,"Island",2,"AB",400,"Birds",0.25
46,"Simpson diversity",-1.954,103.242,40,"Island",2,"AB",400,"Birds",0.364
46,"Shannon diversity",-1.954,103.242,40,"Island",2,"AB",400,"Birds",0.306
47,"Shannon diversity",-1.954,103.244,20,"Island",2,"BE",100,"Birds",0
47,"Simpson diversity",-1.954,103.244,20,"Island",2,"BE",100,"Birds",0
47,"Species richness",-1.954,103.244,20,"Island",2,"BE",100,"Birds",0
48,"Shannon diversity",-1.954,103.245,10,"Island",3,"CEF",24,"Birds",0.153
48,"Simpson diversity",-1.954,103.245,10,"Island",3,"CEF",24,"Birds",0.182
48,"Species richness",-1.954,103.245,10,"Island",3,"CEF",24,"Birds",0.125
49,"Simpson diversity",-1.954,103.247,40,"Island",1,"F",400,"Birds",0.364
49,"Species richness",-1.954,103.247,40,"Island",1,"F",400,"Birds",0.25
49,"Shannon diversity",-1.954,103.247,40,"Island",1,"F",400,"Birds",0.306
50,"Simpson diversity",-1.954,103.248,5,"Island",6,"ABCDEF",6,"Birds",0.182
50,"Species richness",-1.954,103.248,5,"Island",6,"ABCDEF",6,"Birds",0.125
50,"Shannon diversity",-1.954,103.248,5,"Island",6,"ABCDEF",6,"Birds",0.153
51,"Shannon diversity",-1.954,103.249,20,"Island",1,"A",100,"Birds",0.153
51,"Species richness",-1.954,103.249,20,"Island",1,"A",100,"Birds",0.125
51,"Simpson diversity",-1.954,103.249,20,"Island",1,"A",100,"Birds",0.182
52,"Shannon diversity",-1.955,103.243,40,"Island",1,"D",400,"Birds",0
52,"Simpson diversity",-1.955,103.243,40,"Island",1,"D",400,"Birds",0
52,"Species richness",-1.955,103.243,40,"Island",1,"D",400,"Birds",0
53,"Simpson diversity",-1.943,103.255,10,"Control",,,0,"Birds",0
53,"Shannon diversity",-1.943,103.255,10,"Control",,,0,"Birds",0
53,"Species richness",-1.943,103.255,10,"Control",,,0,"Birds",0
54,"Species richness",-1.951,103.256,10,"Control",,,0,"Birds",0.25
54,"Simpson diversity",-1.951,103.256,10,"Control",,,0,"Birds",0.328
